EmployeeNumber,Department,JobRole,Gender,JobLevel,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,Attrition,risk_score,risk_band
1,Sales,Sales Executive,Female,2,5993,Yes,4,1,0,Yes,0.9046441314694519,Élevé
2,Research & Development,Research Scientist,Male,2,5130,No,2,3,1,No,0.06792801738640616,Faible
4,Research & Development,Laboratory Technician,Male,1,2090,Yes,3,3,0,Yes,0.8866829906222683,Élevé
5,Research & Development,Research Scientist,Female,1,2909,Yes,3,3,3,No,0.3916974814453727,Moyen
7,Research & Development,Laboratory Technician,Male,1,3468,No,2,3,2,No,0.7672731147738792,Élevé
8,Research & Development,Laboratory Technician,Male,1,3068,No,4,2,3,No,0.24453569670105704,Faible
10,Research & Development,Laboratory Technician,Female,1,2670,Yes,1,2,0,No,0.5109118740013079,Moyen
11,Research & Development,Laboratory Technician,Male,1,2693,No,3,3,0,No,0.4620843285626321,Moyen
12,Research & Development,Manufacturing Director,Male,3,9526,No,3,3,1,No,0.31920262921958525,Faible
13,Research & Development,Healthcare Representative,Male,2,5237,No,3,2,7,No,0.258717048372938,Faible
14,Research & Development,Laboratory Technician,Male,1,2426,No,2,3,0,No,0.25064900986184546,Faible
15,Research & Development,Laboratory Technician,Female,2,4193,Yes,3,3,0,No,0.6132761641461838,Moyen
16,Research & Development,Research Scientist,Male,1,2911,No,3,2,4,No,0.23332249164765667,Faible
18,Research & Development,Laboratory Technician,Male,1,2661,No,4,3,1,No,0.28572614921101364,Faible
19,Research & Development,Laboratory Technician,Male,1,2028,Yes,3,3,0,Yes,0.9798877927989222,Élevé
20,Research & Development,Manufacturing Director,Female,3,9980,No,1,3,8,No,0.13787795269874709,Faible
21,Research & Development,Research Scientist,Male,1,3298,Yes,2,2,0,No,0.1923434899895296,Faible
22,Research & Development,Laboratory Technician,Male,1,2935,Yes,4,2,0,No,0.6367751706321622,Moyen
23,Sales,Manager,Female,4,15427,No,4,3,3,No,0.022879946243353877,Faible
24,Research & Development,Research Scientist,Male,1,3944,Yes,4,3,1,No,0.6183010236297269,Moyen
26,Research & Development,Manufacturing Director,Female,2,4011,No,3,2,1,No,0.03456600662115382,Faible
27,Sales,Sales Representative,Male,1,3407,No,1,3,0,Yes,0.8504313914812361,Élevé
28,Research & Development,Research Director,Female,3,11994,No,2,3,2,No,0.06625405406398864,Faible
30,Research & Development,Research Scientist,Male,1,1232,No,4,3,0,No,0.28628121360602027,Faible
31,Research & Development,Research Scientist,Male,1,2960,No,1,3,1,Yes,0.28763913823799575,Faible
32,Research & Development,Manager,Female,5,19094,No,3,2,4,No,0.004390886640914878,Faible
33,Research & Development,Research Scientist,Female,1,3919,Yes,1,3,6,Yes,0.9077207922834287,Élevé
35,Sales,Sales Executive,Male,2,6825,No,2,3,4,No,0.27628060341235633,Faible
36,Research & Development,Healthcare Representative,Female,3,10248,No,4,3,5,No,0.015086559363061452,Faible
38,Sales,Manager,Female,5,18947,No,1,2,2,No,0.3055560414188561,Faible
39,Research & Development,Laboratory Technician,Male,1,2496,No,4,3,0,No,0.45402676648520346,Moyen
40,Research & Development,Healthcare Representative,Male,2,6465,Yes,4,4,1,No,0.1604135467240969,Faible
41,Research & Development,Laboratory Technician,Male,1,2206,No,3,3,1,No,0.4764237774144597,Moyen
42,Sales,Sales Representative,Male,2,2086,No,4,4,0,Yes,0.15276958185943457,Faible
45,Research & Development,Research Scientist,Male,1,2293,Yes,4,2,2,Yes,0.5803362412958981,Moyen
46,Research & Development,Research Scientist,Female,1,2645,No,3,2,1,No,0.006549691433045354,Faible
47,Sales,Sales Representative,Male,1,2683,Yes,3,3,0,Yes,0.8695452870861925,Élevé
49,Sales,Sales Representative,Female,1,2014,No,4,3,2,No,0.38599169844665104,Moyen
51,Research & Development,Research Scientist,Female,1,3419,Yes,1,4,0,No,0.7968489087364057,Élevé
52,Sales,Sales Executive,Female,2,5376,No,1,3,1,No,0.1327205803917418,Faible
53,Research & Development,Laboratory Technician,Male,1,1951,No,4,3,0,No,0.2533804205609056,Faible
54,Research & Development,Laboratory Technician,Female,1,2341,No,1,3,0,No,0.1756924962575745,Faible
55,Research & Development,Laboratory Technician,Male,1,2293,No,3,2,0,Yes,0.8975757211884247,Élevé
56,Sales,Sales Executive,Male,3,8726,No,3,3,1,No,0.23068446548815033,Faible
57,Research & Development,Laboratory Technician,Female,2,4011,No,4,3,3,No,0.2194726361941956,Faible
58,Research & Development,Research Director,Female,5,19545,No,3,3,15,Yes,0.0874237742620424,Faible
60,Sales,Sales Executive,Male,2,4568,No,3,3,8,No,0.7694306584554358,Élevé
61,Research & Development,Research Scientist,Male,1,3022,No,2,3,0,No,0.5709506890888258,Moyen
62,Sales,Sales Executive,Male,2,5772,Yes,4,3,0,No,0.8434373104760221,Élevé
63,Research & Development,Laboratory Technician,Male,1,2269,No,4,3,0,No,0.08556095114630247,Faible
64,Research & Development,Laboratory Technician,Male,3,5381,Yes,3,3,0,Yes,0.9392096086170197,Élevé
65,Research & Development,Laboratory Technician,Male,1,3441,Yes,3,2,2,Yes,0.9007998297521217,Élevé
68,Sales,Sales Executive,Female,2,5454,Yes,1,2,1,No,0.8187014251911516,Élevé
70,Research & Development,Healthcare Representative,Male,3,9884,Yes,1,3,2,No,0.5667007904863345,Moyen
72,Sales,Sales Executive,Female,2,4157,Yes,4,2,0,No,0.9189916771808498,Élevé
73,Research & Development,Research Director,Female,3,13458,Yes,4,3,8,No,0.37634903773313566,Moyen
74,Sales,Sales Executive,Male,3,9069,No,1,2,1,No,0.39972293094604694,Moyen
75,Research & Development,Laboratory Technician,Female,1,4014,Yes,1,3,2,No,0.8492351843526944,Élevé
76,Research & Development,Laboratory Technician,Male,2,5915,No,4,2,1,No,0.10009997532391228,Faible
77,Research & Development,Manufacturing Director,Male,2,5993,No,3,4,0,No,0.03259741874672252,Faible
78,Research & Development,Manufacturing Director,Male,2,6162,Yes,4,3,7,No,0.48499748949281435,Moyen
79,Research & Development,Laboratory Technician,Female,2,2406,No,4,3,9,No,0.7633037418826318,Élevé
80,Research & Development,Research Director,Female,5,18740,Yes,3,2,13,No,0.4920979905858333,Moyen
81,Sales,Sales Executive,Female,3,7637,No,1,2,7,No,0.4034644344786696,Moyen
83,Research & Development,Healthcare Representative,Female,3,10096,No,3,3,12,No,0.046115183444723463,Faible
84,Research & Development,Manager,Female,4,14756,Yes,3,3,0,No,0.03796871913317633,Faible
85,Research & Development,Manufacturing Director,Male,2,6499,No,2,3,0,No,0.3972238687857344,Moyen
86,Research & Development,Research Scientist,Male,3,9724,No,1,3,0,No,0.021316722078988912,Faible
88,Research & Development,Research Scientist,Male,1,2194,No,1,2,1,No,0.34179572628435395,Moyen
90,Research & Development,Research Scientist,Male,1,3388,Yes,3,2,0,Yes,0.5487714203193386,Moyen
91,Sales,Sales Executive,Female,2,5473,No,3,2,1,No,0.4354112614093028,Moyen
94,Research & Development,Research Scientist,Male,1,2703,No,2,3,0,No,0.02815944977288483,Faible
95,Research & Development,Research Scientist,Male,1,2501,No,2,3,1,No,0.22263363577688244,Faible
96,Research & Development,Research Scientist,Male,2,6220,No,2,3,0,No,0.020889047209684833,Faible
97,Research & Development,Laboratory Technician,Female,1,3038,No,4,3,0,No,0.40139737969150024,Moyen
98,Research & Development,Manufacturing Director,Female,2,4424,No,4,3,1,No,0.04949730604685964,Faible
100,Sales,Sales Executive,Male,2,4312,No,1,3,2,No,0.25017643286207436,Faible
101,Research & Development,Research Director,Male,3,13245,Yes,1,4,0,No,0.40410234717115034,Moyen
102,Research & Development,Research Director,Male,3,13664,No,3,4,0,No,0.27169852513804194,Faible
103,Human Resources,Human Resources,Male,2,5021,Yes,2,3,0,No,0.6974292615190949,Élevé
104,Research & Development,Laboratory Technician,Male,2,5126,Yes,4,2,3,No,0.5569953103652444,Moyen
105,Research & Development,Research Scientist,Male,1,2859,No,3,3,0,No,0.10452793238360554,Faible
106,Sales,Sales Executive,Male,3,10239,No,4,3,1,No,0.07397341803928442,Faible
107,Research & Development,Research Scientist,Female,2,5329,Yes,4,3,1,No,0.1080114644131287,Faible
110,Research & Development,Manufacturing Director,Male,2,4325,No,2,3,1,No,0.1518725365027208,Faible
112,Research & Development,Manufacturing Director,Male,3,7260,No,4,2,0,No,0.037658423802574344,Faible
113,Sales,Sales Representative,Male,1,2322,No,1,3,0,No,0.6904224321828931,Élevé
116,Research & Development,Laboratory Technician,Male,1,2075,No,4,3,0,No,0.14640111160368777,Faible
117,Research & Development,Healthcare Representative,Male,2,4152,No,4,3,10,No,0.09026524384210065,Faible
118,Sales,Sales Executive,Male,3,9619,No,4,3,4,Yes,0.15535051261842003,Faible
119,Research & Development,Healthcare Representative,Male,4,13503,No,2,2,11,No,0.24916106677995328,Faible
120,Sales,Sales Executive,Male,2,5441,Yes,4,1,1,No,0.846373147459828,Élevé
121,Sales,Sales Executive,Female,2,5209,Yes,2,2,2,No,0.2689132508840561,Faible
124,Research & Development,Healthcare Representative,Male,3,10673,Yes,1,2,9,No,0.5614580580678613,Moyen
125,Sales,Sales Executive,Male,2,5010,No,3,3,5,No,0.42453540729004435,Moyen
126,Research & Development,Research Director,Female,3,13549,No,3,1,0,No,0.1462770535986722,Faible
128,Sales,Sales Executive,Female,2,4999,No,3,2,0,No,0.2589813110477279,Faible
129,Sales,Sales Executive,Male,2,4221,No,3,4,0,No,0.26601446597324085,Faible
131,Sales,Sales Executive,Male,4,13872,No,3,2,1,No,0.02292291225885845,Faible
132,Research & Development,Laboratory Technician,Male,2,2042,No,2,4,1,No,0.46500844630919574,Moyen
133,Human Resources,Human Resources,Male,1,2073,Yes,1,3,0,Yes,0.7963607343484932,Élevé
134,Research & Development,Research Scientist,Male,1,2956,No,1,3,0,No,0.18171394228084864,Faible
137,Research & Development,Laboratory Technician,Female,1,2926,Yes,4,3,1,Yes,0.9067503105345829,Élevé
138,Research & Development,Research Scientist,Female,2,4809,No,3,3,2,No,0.025351696424820856,Faible
139,Research & Development,Healthcare Representative,Male,2,5163,No,4,4,0,No,0.055806475303978004,Faible
140,Human Resources,Manager,Female,5,18844,No,4,3,2,No,0.028780443317569286,Faible
141,Research & Development,Research Director,Female,5,18172,Yes,2,2,0,No,0.1271987388298487,Faible
142,Sales,Sales Executive,Male,2,5744,Yes,3,3,0,Yes,0.9126739991454776,Élevé
143,Research & Development,Research Scientist,Male,1,2889,No,4,3,2,No,0.07423853372158948,Faible
144,Research & Development,Laboratory Technician,Female,1,2871,No,4,3,0,No,0.5620738442457459,Moyen
145,Research & Development,Healthcare Representative,Female,3,7484,No,1,2,12,No,0.48734226091581306,Moyen
147,Research & Development,Laboratory Technician,Male,2,6074,Yes,3,3,0,Yes,0.907978917373601,Élevé
148,Human Resources,Manager,Female,4,17328,Yes,4,3,4,No,0.2612865329377894,Faible
150,Research & Development,Laboratory Technician,Male,1,2774,No,3,3,1,No,0.33723138926612906,Moyen
151,Research & Development,Research Scientist,Female,2,4505,No,2,3,0,No,0.13673305801559602,Faible
152,Sales,Sales Executive,Male,3,7428,No,4,3,1,No,0.30229727046813987,Faible
153,Research & Development,Manager,Female,3,11631,No,1,3,5,No,0.06643115728763171,Faible
154,Sales,Sales Executive,Female,3,9738,No,4,3,2,No,0.07699021905233061,Faible
155,Research & Development,Laboratory Technician,Female,1,2835,No,4,3,0,No,0.45979098438492094,Moyen
158,Sales,Manager,Male,4,16959,Yes,4,4,4,No,0.22172793970489155,Faible
159,Research & Development,Research Scientist,Male,1,2613,No,3,2,0,No,0.10615425872719257,Faible
160,Sales,Sales Executive,Male,2,6146,No,2,4,0,No,0.21942006928725166,Faible
161,Research & Development,Research Scientist,Female,1,4963,Yes,2,3,4,Yes,0.6853550542582304,Élevé
162,Research & Development,Research Director,Male,5,19537,No,3,3,15,No,0.16318435555964358,Faible
163,Sales,Sales Executive,Male,2,6172,Yes,3,2,7,Yes,0.922388195622729,Élevé
164,Research & Development,Research Scientist,Female,1,2368,No,2,2,4,No,0.09945237052879165,Faible
165,Research & Development,Healthcare Representative,Female,3,10312,No,4,2,15,Yes,0.06308999134657896,Faible
167,Sales,Sales Representative,Male,1,1675,Yes,3,2,0,Yes,0.9585091034230513,Élevé
169,Research & Development,Laboratory Technician,Male,1,2523,No,4,3,2,No,0.34972342187715516,Moyen
